cod_orsolini;CODICE;DESCRI;LISTIN;ERRORE
AM,MDP116062-10S;MDP116062-10S;PENSILE L45 H72 SAND/FENIX F1;445;duplicato codar00f
AM,XMC502-90;XMC502-90;MAGG X SCOCCA IN FIN L60 ESSENZE;705;duplicato codar00f
AM,XMC512-40;XMC512-40;MAGG X SCOCCA L60 H39,5 OSSIDATO/ROVERE;640;duplicato codar00f
AM,XMC523-40;XMC523-40;MAGG X SCOCCA IN FIN L75 OSSIDATO/ROVERE;750;duplicato codar00f
AM,XMC525-40;XMC525-40;MAGG X SCOCCA L62,5 OSSIDATO/ROVERE;1245;duplicato codar00f
AM,XMC555-10;XMC555-10;MAGG X SCOCCA IN FIN L62,5 SAND;1295;duplicato codar00f
AM,XMC561-90;XMC561-90;MAGG X SCOCCA IN FIN L30 ESSENZE;485;duplicato codar00f
AM,XMC566-10;XMC566-10;MAGG X SCOCCA IN FIN L30 SAND;565;duplicato codar00f
AM,MDP116042-10S;MDP116042-10S;PENSILE L45 H60 SAND/FENIX F1;405;duplicato codar00f
AM,MDP116062-20S;MDP116062-20S;PENSILE L45 H72 LUC/FENIX F2/LAM/HPL;565;duplicato codar00f
AM,MDP116072-10S;MDP116072-10S;PENSILE L45 H96 SAND/FENIX F1;515;duplicato codar00f
AM,MDP116122-90S;MDP116122-90S;LYMPHA BASE L30 SCOCCA SAND/FENIX F1;1445;duplicato codar00f
AM,EP073120481;EP073120481;TOP MUST INALCO DA 6 P477 S12;725;duplicato codar00f
AM,FRRZ0071;FRRZ0071;PILETTA SCARICO LIBERO X LAVKORAL;75;duplicato codar00f
AM,XMC502-40;XMC502-40;MAGG X SCOCCA IN FIN L60 OSSIDATO/ROVERE;515;duplicato codar00f
AM,XMC505-10;XMC505-10;MAGG X SCOCCA IN FIN L62,5 SAND;720;duplicato codar00f
AM,XMC505-90;XMC505-90;MAGG X SCOCCA IN FIN L62,5 ESSENZE;1390;duplicato codar00f
AM,XMC510-40;XMC510-40;MAGG X SCOCCA L30 H39,5 OSSIDATO/ROVERE;550;duplicato codar00f
AM,XMC512-10;XMC512-10;MAGG X SCOCCA IN FIN L60 H39,5 SAND;395;duplicato codar00f
AM,MDP114062-20S;MDP114062-20S;PENSILE L60 H60 LUC/FENIX F2/LAM/HPL;565;duplicato codar00f
AM,MDP114072-20S;MDP114072-20S;PENSILE L60 H72 LUC/FENIX F2/LAM/HPL;650;duplicato codar00f
AM,MDP114072-40S;MDP114072-40S;PENSILE L60 H72 OSSIDATO/ROVERE;790;duplicato codar00f
AM,MDP116072-40S;MDP116072-40S;PENSILE L45 H96 OSSIDATO/ROVERE;790;duplicato codar00f
AM,MDP116092-40S;MDP116092-40S;PENSILE L45 H120 OSSIDATO/ROVERE;910;duplicato codar00f
AM,MDP116092-90S;MDP116092-90S;PENSILE L45 H120 ESSENZE/TRACCIA;1255;duplicato codar00f
AM,XMC513-20;XMC513-20;MAGG X SCOCCA L75 H39,5 LUC/FENIX F2;480;duplicato codar00f
AM,XMC514-20;XMC514-20;MAGG X SCOCCA L47,5 H39,5 LUC/FENIX F2;965;duplicato codar00f
AM,XMC515-90;XMC515-90;MAGG X SCOCCA IN FIN L62,5 H39,5 ESSENZE;1640;duplicato codar00f
AM,XMC522-40;XMC522-40;MAGG X SCOCCA IN FIN L60 OSSIDATO/ROVERE;680;duplicato codar00f
AM,XMC531-10;XMC531-10;MAGG X SCOCCA IN FIN L45 SAND;480;duplicato codar00f
AM,XMC531-20;XMC531-20;MAGG X SCOCCA IN FIN L45 LUC/FENIX F2;540;duplicato codar00f
AM,XMC533-20;XMC533-20;MAGG X SCOCCA IN FIN L75 LUC/FENIX F2;640;duplicato codar00f
AM,XMC533-40;XMC533-40;MAGG X SCOCCA IN FIN L75 OSSIDATO/ROVERE;920;duplicato codar00f
AM,XMC535-10;XMC535-10;MAGG X SCOCCA IN FIN L62,5 SAND;950;duplicato codar00f
AM,XMC541-10;XMC541-10;MAGG X SCOCCA IN FIN L45 SAND;490;duplicato codar00f
AM,XMC554-10;XMC554-10;MAGG X SCOCCA IN FIN L47,5 SAND;1250;duplicato codar00f
AM,XMC560-20;XMC560-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;320;duplicato codar00f
AM,XMC561-20;XMC561-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;320;duplicato codar00f
AM,XMC562-20;XMC562-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;345;duplicato codar00f
AM,XMM066;XMM066;MAGX COVER UP CONTROMANIL106-135;45;duplicato codar00f
AM,XMC503-10;XMC503-10;MAGG X SCOCCA IN FIN L75 SAND;370;duplicato codar00f
AM,XMC503-20;XMC503-20;MAGG X SCOCCA IN FIN L75 LUC/FENIX F2;435;duplicato codar00f
AM,XMC520-90;XMC520-90;MAGG X SCOCCA IN FIN L30 ESSENZE;715;duplicato codar00f
AM,XMC521-10;XMC521-10;MAGG X SCOCCA IN FIN L45 SAND;380;duplicato codar00f
AM,XMC522-20;XMC522-20;MAGG X SCOCCA IN FIN L60 LUC/FENIX F2;465;duplicato codar00f
AM,MDP114092-90S;MDP114092-90S;PENSILE L60 H96 ESSENZE/TRACCIA;1255;duplicato codar00f
AM,MDP116062-40S;MDP116062-40S;PENSILE L45 H72 OSSIDATO/ROVERE;685;duplicato codar00f
AM,MDP116072-20S;MDP116072-20S;PENSILE L45 H96 LUC/FENIX F2/LAM/HPL;650;duplicato codar00f
AM,XMC524-20;XMC524-20;MAGG X SCOCCA IN FIN L47,5 LUC/FENIX F2;940;duplicato codar00f
AM,XMC530-40;XMC530-40;MAGG X SCOCCA IN FIN L30 OSSIDATO/ROVERE;710;duplicato codar00f
AM,XMC531-40;XMC531-40;MAGG X SCOCCA IN FIN L45 OSSIDATO/ROVERE;780;duplicato codar00f
AM,XMC534-20;XMC534-20;MAGG X SCOCCA IN FIN L47,5 LUC/FENIX F2;1070;duplicato codar00f
AM,XMC534-90;XMC534-90;MAGG X SCOCCA IN FIN L47,5 ESSENZE;1765;duplicato codar00f
AM,XMC542-90;XMC542-90;MAGG X SCOCCA IN FIN L60 ESSENZE;1205;duplicato codar00f
AM,XMC553-40;XMC553-40;MAGG X SCOCCA IN FIN L75 OSSIDATO/ROVERE;1210;duplicato codar00f
AM,XMC555-20;XMC555-20;MAGG X SCOCCA IN FIN L62,5 LUC/FENIX F2;1470;duplicato codar00f
AM,XMC565-10;XMC565-10;MAGG X SCOCCA IN FIN L30 SAND;490;duplicato codar00f
AM,XMC566-40;XMC566-40;MAGG X SCOCCA IN FIN L30 OSSIDATO/ROVERE;815;duplicato codar00f
AM,XMM052;XMM052;MAGX COVER UP SUPERIORE L76-105;150;duplicato codar00f
AM,XMC501-10;XMC501-10;MAGG X SCOCCA IN FIN L45 SAND;335;duplicato codar00f
AM,XMC504-10;XMC504-10;MAGG X SCOCCA IN FIN L47,5 SAND;705;duplicato codar00f
AM,XMC504-20;XMC504-20;MAGG X SCOCCA IN FIN L47,5 LUC/FENIX F2;840;duplicato codar00f
AM,XMC504-40;XMC504-40;MAGG X SCOCCA L47,5 OSSIDATO/ROVERE;1005;duplicato codar00f
AM,XMC505-40;XMC505-40;MAGG X SCOCCA L62,5 OSSIDATO/ROVERE;1035;duplicato codar00f
AM,XMC512-90;XMC512-90;MAGG X SCOCCA IN FIN L60 H39,5 ESSENZE;800;duplicato codar00f
AM,XMC521-90;XMC521-90;MAGG X SCOCCA IN FIN L45 ESSENZE;775;duplicato codar00f
AM,XMC523-20;XMC523-20;MAGG X SCOCCA IN FIN L75 LUC/FENIX F2;515;duplicato codar00f
AM,XMC524-90;XMC524-90;MAGG X SCOCCA IN FIN L47,5 ESSENZE;1550;duplicato codar00f
AM,XMC532-10;XMC532-10;MAGG X SCOCCA IN FIN L60 SAND;510;duplicato codar00f
AM,XMC535-40;XMC535-40;MAGG X SCOCCA L62,5 OSSIDATO/ROVERE;1440;duplicato codar00f
AM,XMC540-10;XMC540-10;MAGG X SCOCCA IN FIN L30 SAND;460;duplicato codar00f
AM,XMC551-90;XMC551-90;MAGG X SCOCCA IN FIN L45 ESSENZE;1255;duplicato codar00f
AM,XMC553-10;XMC553-10;MAGG X SCOCCA IN FIN L75 SAND;715;duplicato codar00f
AM,XMC554-90;XMC554-90;MAGG X SCOCCA IN FIN L47,5 ESSENZE;2280;duplicato codar00f
AM,XMC555-40;XMC555-40;MAGG X SCOCCA L62,5 OSSIDATO/ROVERE;1910;duplicato codar00f
AM,XMC562-40;XMC562-40;MAGG X SCOCCA IN FIN L30 OSSIDATO/ROVERE;450;duplicato codar00f
AM,XMC563-40;XMC563-40;MAGG X SCOCCA L30 H96 OSSIDATO/ROVERE;500;duplicato codar00f
AM,XMC564-90;XMC564-90;MAGG X SCOCCA IN FIN L35 ESSENZE;640;duplicato codar00f
AM,XMC565-20;XMC565-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;525;duplicato codar00f
AM,XMC566-90;XMC566-90;MAGG X SCOCCA IN FIN L30 ESSENZE;900;duplicato codar00f
AM,XMM053;XMM053;MAGX COVER UP SUPERIORE L106-135;200;duplicato codar00f
AM,ELGK115;ELGK115;LAVABO "LYMPHA" MARMO A 494X536X125;2525;duplicato codar00f
AM,EP070110481;EP070110481;TOP MUST KERLITE P477 S11;705;duplicato codar00f
AM,MDP116072-90S;MDP116072-90S;PENSILE L45 H96 ESSENZE/TRACCIA;1090;duplicato codar00f
AM,MDP116092-10S;MDP116092-10S;PENSILE L45 H120 SAND/FENIX F1;595;duplicato codar00f
AM,XMC520-40;XMC520-40;MAGG X SCOCCA IN FIN L30 OSSIDATO/ROVERE;570;duplicato codar00f
AM,XMC524-10;XMC524-10;MAGG X SCOCCA IN FIN L47,5 SAND;800;duplicato codar00f
AM,XMC530-10;XMC530-10;MAGG X SCOCCA IN FIN L30 SAND;430;duplicato codar00f
AM,XMC530-90;XMC530-90;MAGG X SCOCCA IN FIN L30 ESSENZE;900;duplicato codar00f
AM,XMC533-90;XMC533-90;MAGG X SCOCCA IN FIN L75 ESSENZE;1130;duplicato codar00f
AM,XMC541-20;XMC541-20;MAGG X SCOCCA IN FIN L45 LUC/FENIX F2;590;duplicato codar00f
AM,XMC551-10;XMC551-10;MAGG X SCOCCA IN FIN L45 SAND;615;duplicato codar00f
AM,XMC552-10;XMC552-10;MAGG X SCOCCA IN FIN L60 SAND;670;duplicato codar00f
AM,XMC553-20;XMC553-20;MAGG X SCOCCA IN FIN L75 LUC/FENIX F2;840;duplicato codar00f
AM,XMM050;XMM050;MAGX COVER UP SUPERIORE L15-30;90;duplicato codar00f
AM,XMM061;XMM061;MAGX COVER UP CONTROMANIGL31-60;25;duplicato codar00f
AM,MDP116122-40S;MDP116122-40S;PENSILE L45 ESSENZE/TRACCIA;1050;duplicato codar00f
AM,XMC501-20;XMC501-20;MAGG X SCOCCA IN FIN L45 LUC/FENIX F2;395;duplicato codar00f
AM,XMC501-90;XMC501-90;MAGG X SCOCCA IN FIN L45 ESSENZE;655;duplicato codar00f
AM,XMC515-20;XMC515-20;MAGG X SCOCCA L62,5 H39,5 LUC/FENIX F2;1000;duplicato codar00f
AM,XMC521-40;XMC521-40;MAGG X SCOCCA IN FIN L45 OSSIDATO/ROVERE;630;duplicato codar00f
AM,XMC542-40;XMC542-40;MAGG X SCOCCA IN FIN L60 OSSIDATO/ROVERE;1120;duplicato codar00f
AM,XMC550-10;XMC550-10;MAGG X SCOCCA IN FIN L30 SAND;565;duplicato codar00f
AM,XMC550-40;XMC550-40;MAGG X SCOCCA IN FIN L30 OSSIDATO/ROVERE;935;duplicato codar00f
AM,XMC564-40;XMC564-40;MAGG X SCOCCA IN FIN L35 OSSIDATO/ROVERE;580;duplicato codar00f
AM,XMC500-90;XMC500-90;MAGG X SCOCCA IN FIN L30 ESSENZE;620;duplicato codar00f
AM,XMC502-10;XMC502-10;MAGG X SCOCCA IN FIN L60 SAND;360;duplicato codar00f
AM,XMC503-40;XMC503-40;MAGG X SCOCCA IN FIN L75 OSSIDATO/ROVERE;545;duplicato codar00f
AM,XMC510-20;XMC510-20;MAGG X SCOCCA L30 H39,5 LUC/FENIX F2;395;duplicato codar00f
AM,XMC511-10;XMC511-10;MAGG X SCOCCA IN FIN L45 H39,5 SAND;355;duplicato codar00f
AM,XMC511-20;XMC511-20;MAGG X SCOCCA L45 H39,5 LUC/FENIX F2;410;duplicato codar00f
AM,XMC511-40;XMC511-40;MAGG X SCOCCA L45 H39,5 OSSIDATO/ROVERE;585;duplicato codar00f
AM,XMC511-90;XMC511-90;MAGG X SCOCCA IN FIN L45 H39,5 ESSENZE;735;duplicato codar00f
AM,XMC514-40;XMC514-40;MAGG X SCOCCA L47,5 H39,5 OSSID/ROVERE;1220;duplicato codar00f
AM,XMC515-10;XMC515-10;MAGG X SCOCCA IN FIN L62,5 H39,5 SAND;850;duplicato codar00f
AM,XMC520-20;XMC520-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;395;duplicato codar00f
AM,XMC522-10;XMC522-10;MAGG X SCOCCA IN FIN L60 SAND;410;duplicato codar00f
AM,XMC533-10;XMC533-10;MAGG X SCOCCA IN FIN L75 SAND;545;duplicato codar00f
AM,XMC535-20;XMC535-20;MAGG X SCOCCA IN FIN L62,5 LUC/FENIX F2;1110;duplicato codar00f
AM,XMC535-90;XMC535-90;MAGG X SCOCCA IN FIN L62,5 ESSENZE;1840;duplicato codar00f
AM,XMC541-40;XMC541-40;MAGG X SCOCCA IN FIN L45 OSSIDATO/ROVERE;1040;duplicato codar00f
AM,XMC542-20;XMC542-20;MAGG X SCOCCA IN FIN L60 LUC/FENIX F2;645;duplicato codar00f
AM,XMC550-90;XMC550-90;MAGG X SCOCCA IN FIN L30 ESSENZE;1170;duplicato codar00f
AM,XMC554-20;XMC554-20;MAGG X SCOCCA IN FIN L47,5 LUC/FENIX F2;1420;duplicato codar00f
AM,XMC560-90;XMC560-90;MAGG X SCOCCA IN FIN L30 ESSENZE;485;duplicato codar00f
AM,XMM065;XMM065;MAGX COVER UP CONTROMANIGL76-105;30;duplicato codar00f
AM,XMC512-20;XMC512-20;MAGG X SCOCCA L60 H39,5 LUC/FENIX F2;450;duplicato codar00f
AM,XMC513-90;XMC513-90;MAGG X SCOCCA IN FIN L75 H39,5 ESSENZE;850;duplicato codar00f
AM,XMC525-10;XMC525-10;MAGG X SCOCCA IN FIN L62,5 SAND;835;duplicato codar00f
AM,XMC525-20;XMC525-20;MAGG X SCOCCA IN FIN L62,5 LUC/FENIX F2;975;duplicato codar00f
AM,XMC530-20;XMC530-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;490;duplicato codar00f
AM,XMC562-10;XMC562-10;MAGG X SCOCCA IN FIN L30 SAND;315;duplicato codar00f
AM,XMC563-20;XMC563-20;MAGG X SCOCCA L30 H96 LUC/FENIX F2;380;duplicato codar00f
AM,XMC565-90;XMC565-90;MAGG X SCOCCA IN FIN L30 ESSENZE;765;duplicato codar00f
AM,EP071110481;EP071110481;TOP MUST LAMINAM DA 5,5 P477 S11;705;duplicato codar00f
AM,FGBS010;FGBS010;GOLA SUPERIORE PIATTA IN FINITURA;30;duplicato codar00f
AM,FGBS025;FGBS025;MANIGLIA LYMPHA L200 BIANCO;30;duplicato codar00f
AM,FRRZ0070;FRRZ0070;PILETTA UP&DOWN KORAL;70;duplicato codar00f
AM,MDP114072-10S;MDP114072-10S;PENSILE L60 H72 SAND/FENIX F1;515;duplicato codar00f
AM,MDP114092-20S;MDP114092-20S;PENSILE L60 H96 LUC/FENIX F2/LAM/HPL;750;duplicato codar00f
AM,MDP116042-20S;MDP116042-20S;PENSILE L45 H60 LUC/FENIX F2/LAM/HPL;510;duplicato codar00f
AM,MDP116122-20S;MDP116122-20S;PENSILE L45 OSSIDATO/ROVERE;865;duplicato codar00f
AM,MM01;MM01;PUSH-PULL"TIPMATIC" L135;60;duplicato codar00f
AM,XMC500-20;XMC500-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;370;duplicato codar00f
AM,XMC501-40;XMC501-40;MAGG X SCOCCA IN FIN L45 OSSIDATO/ROVERE;485;duplicato codar00f
AM,XMC502-20;XMC502-20;MAGG X SCOCCA IN FIN L60 LUC/FENIX F2;415;duplicato codar00f
AM,XMC510-10;XMC510-10;MAGG X SCOCCA IN FIN L30 H39,5 SAND;345;duplicato codar00f
AM,XMC514-90;XMC514-90;MAGG X SCOCCA IN FIN L47,5 H39,5 ESSENZE;1580;duplicato codar00f
AM,XMC520-10;XMC520-10;MAGG X SCOCCA IN FIN L30 SAND;350;duplicato codar00f
AM,XMC522-90;XMC522-90;MAGG X SCOCCA IN FIN L60 ESSENZE;835;duplicato codar00f
AM,XMC532-90;XMC532-90;MAGG X SCOCCA IN FIN L60 ESSENZE;1035;duplicato codar00f
AM,XMC540-20;XMC540-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;550;duplicato codar00f
AM,XMC541-90;XMC541-90;MAGG X SCOCCA IN FIN L45 ESSENZE;1130;duplicato codar00f
AM,XMC542-10;XMC542-10;MAGG X SCOCCA IN FIN L60 SAND;535;duplicato codar00f
AM,XMC553-90;XMC553-90;MAGG X SCOCCA IN FIN L75 ESSENZE;1475;duplicato codar00f
AM,XMC565-40;XMC565-40;MAGG X SCOCCA IN FIN L30 OSSIDATO/ROVERE;700;duplicato codar00f
AM,XMC566-20;XMC566-20;MAGG X SCOCCA IN FIN L30 LUC/FENIX F2;615;duplicato codar00f
AM,XMM060;XMM060;MAGX COVER UP CONTROMANIGL15-30;15;duplicato codar00f
AM,05760006;05760006;ZOCCOLOANGOLARESSROVERE H6;180;duplicato mgacf00f
